City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Verkhniy Fiagdon,42.83,44.31,50.0,93,88,6.71,overcast clouds
90,Oskarshamn,57.26,16.45,55.99,92,0,3.0,clear sky
91,Eyl,7.98,49.82,75.58,71,67,23.2,broken clouds
92,Qaanaaq,77.48,-69.36,36.46,88,100,4.18,light rain
93,Cooma,-36.23,149.13,35.6,74,3,9.17,clear sky
94,Tuktoyaktuk,69.45,-133.04,68.0,60,75,11.41,broken clouds
95,Presidencia Roque Saenz Pena,-26.79,-60.44,63.82,47,45,5.39,scattered clouds
96,Puerto Ayora,-0.74,-90.35,77.0,57,71,16.11,broken clouds
97,Atuona,-9.8,-139.03,78.49,77,1,15.46,light rain
98,Hualmay,-11.1,-77.61,61.84,78,7,8.72,clear sky
99,Ugoofaaru,5.67,73.0,83.16,70,89,6.46,moderate rain
100,Vaini,-21.2,-175.2,80.6,83,20,10.29,few clouds
101,Lebu,-37.62,-73.65,51.06,91,100,17.83,light rain
102,Kapaa,22.08,-159.32,89.01,66,20,12.75,few clouds
103,Porto Novo,6.5,2.6,75.2,94,20,10.29,few clouds
104,Codrington,-38.27,141.97,45.57,84,83,6.82,light rain
105,Antalaha,-14.9,50.28,66.92,85,71,7.52,broken clouds
106,Port Macquarie,-31.43,152.92,55.99,49,0,3.0,clear sky
107,Villa Carlos Paz,-31.42,-64.5,66.99,23,0,9.17,clear sky
108,Takoradi,4.88,-1.76,73.71,90,14,7.63,few clouds
109,Padang,-0.95,100.35,78.21,70,92,4.47,overcast clouds
110,Polis,35.04,32.43,73.4,56,0,6.93,clear sky
111,Georgetown,5.41,100.34,78.8,94,20,1.12,few clouds
112,Caravelas,-17.71,-39.25,70.05,75,100,12.1,overcast clouds
113,Saint-Philippe,-21.36,55.77,68.0,68,36,5.82,scattered clouds
114,Bredasdorp,-34.53,20.04,57.2,87,100,1.12,overcast clouds
115,Korla,41.76,86.15,75.47,34,0,2.86,clear sky
116,Rio Rancho,35.23,-106.66,95.0,14,75,9.17,smoke
117,San Vicente,-26.62,-54.13,52.56,94,0,3.0,clear sky
118,Buala,-8.14,159.59,82.67,77,96,6.78,light rain
119,Turukhansk,65.82,87.98,50.99,90,27,8.72,scattered clouds
120,Souillac,-20.52,57.52,71.6,78,40,16.11,shower rain
121,Lompoc,34.64,-120.46,81.0,65,1,13.87,clear sky
122,Coquimbo,-29.95,-71.34,57.2,54,75,9.17,broken clouds
123,Jamestown,42.1,-79.24,81.0,61,1,3.36,clear sky
124,Ponta Do Sol,32.67,-17.1,75.2,64,20,20.8,few clouds
125,Kavaratti,10.57,72.64,81.68,81,92,13.91,overcast clouds
126,Boa Vista,2.82,-60.67,80.6,65,40,11.41,shower rain
127,La Baule-Escoublac,47.29,-2.36,61.0,87,59,8.05,broken clouds
128,Lodja,-3.48,23.43,69.76,91,100,3.24,light rain
129,Taoudenni,22.68,-3.98,103.12,8,0,15.21,clear sky
130,Ban Tak,17.04,99.08,75.2,100,90,4.7,light rain
131,Sao Joao Da Barra,-21.64,-41.05,69.8,68,40,11.41,scattered clouds
132,Chegdomyn,51.12,133.02,59.94,91,100,2.21,light rain
133,Manokwari,-0.87,134.08,80.69,70,62,2.66,light rain
